Year,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls
2024.0,Ruturaj Gaikwad,2.0,0.0,61.0,46.0,30.5,51.0,119.61,0.0,0.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2023.0,Ruturaj Gaikwad,16.0,1.0,590.0,92.0,42.14,400.0,147.5,0.0,4.0,46.0,30.0,17.0,0.0,16.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022.0,Ruturaj Gaikwad,14.0,0.0,368.0,99.0,26.29,291.0,126.46,0.0,3.0,33.0,14.0,4.0,0.0,14.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021.0,Ruturaj Gaikwad,16.0,2.0,635.0,101.0,45.35,466.0,136.26,1.0,4.0,64.0,23.0,6.0,0.0,16.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2020.0,Ruturaj Gaikwad,6.0,2.0,204.0,72.0,51.0,169.0,120.71,0.0,3.0,16.0,6.0,4.0,0.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2023.0,Devon Conway,16.0,2.0,672.0,92.0,51.69,481.0,139.71,0.0,6.0,77.0,18.0,6.0,0.0,16.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022.0,Devon Conway,7.0,1.0,252.0,87.0,42.0,173.0,145.66,0.0,3.0,22.0,12.0,2.0,0.0,7.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2024.0,MS Dhoni,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2023.0,MS Dhoni,16.0,8.0,104.0,32.0,26.0,57.0,182.46,0.0,0.0,3.0,10.0,7.0,3.0,16.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022.0,MS Dhoni,14.0,6.0,232.0,50.0,33.14,188.0,123.4,0.0,1.0,21.0,10.0,9.0,0.0,14.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021.0,MS Dhoni,16.0,4.0,114.0,18.0,16.28,107.0,106.54,0.0,0.0,12.0,3.0,13.0,0.0,16.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2020.0,MS Dhoni,14.0,4.0,200.0,47.0,25.0,172.0,116.27,0.0,0.0,16.0,7.0,15.0,1.0,14.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2019.0,MS Dhoni,15.0,7.0,416.0,84.0,83.2,309.0,134.62,0.0,3.0,22.0,23.0,11.0,5.0,15.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2018.0,MS Dhoni,16.0,9.0,455.0,79.0,75.83,302.0,150.66,0.0,3.0,24.0,30.0,11.0,3.0,16.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2017.0,MS Dhoni,16.0,4.0,290.0,61.0,26.36,250.0,116.0,0.0,1.0,15.0,16.0,10.0,3.0,16.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2016.0,MS Dhoni,14.0,5.0,284.0,64.0,40.57,210.0,135.23,0.0,1.0,18.0,14.0,8.0,4.0,14.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2015.0,MS Dhoni,17.0,5.0,372.0,53.0,31.0,305.0,121.96,0.0,1.0,27.0,17.0,8.0,3.0,17.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2014.0,MS Dhoni,16.0,10.0,371.0,57.0,74.2,250.0,148.4,0.0,1.0,22.0,20.0,3.0,1.0,16.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2013.0,MS Dhoni,18.0,5.0,461.0,67.0,41.9,283.0,162.89,0.0,4.0,32.0,25.0,15.0,2.0,18.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2012.0,MS Dhoni,19.0,5.0,358.0,51.0,29.83,278.0,128.77,0.0,1.0,26.0,9.0,12.0,2.0,19.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2011.0,MS Dhoni,16.0,4.0,392.0,70.0,43.55,247.0,158.7,0.0,2.0,25.0,23.0,5.0,5.0,16.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2010.0,MS Dhoni,13.0,2.0,287.0,66.0,31.88,210.0,136.66,0.0,2.0,26.0,8.0,5.0,6.0,13.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2009.0,MS Dhoni,14.0,5.0,332.0,58.0,41.5,261.0,127.2,0.0,2.0,22.0,9.0,4.0,4.0,14.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2008.0,MS Dhoni,16.0,4.0,414.0,65.0,41.4,310.0,133.54,0.0,2.0,38.0,15.0,6.0,0.0,16.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2024.0,Ajinkya Rahane,2.0,0.0,39.0,27.0,19.5,31.0,125.81,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2023.0,Ajinkya Rahane,14.0,1.0,326.0,71.0,32.6,189.0,172.49,0.0,2.0,24.0,16.0,8.0,0.0,14.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022.0,Ajinkya Rahane,7.0,0.0,133.0,44.0,19.0,128.0,103.91,0.0,0.0,14.0,4.0,3.0,0.0,7.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021.0,Ajinkya Rahane,2.0,0.0,8.0,8.0,8.0,8.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2020.0,Ajinkya Rahane,9.0,0.0,113.0,60.0,14.12,107.0,105.6,0.0,1.0,12.0,2.0,4.0,0.0,9.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2019.0,Ajinkya Rahane,14.0,1.0,393.0,105.0,32.75,285.0,137.89,1.0,1.0,45.0,9.0,5.0,0.0,14.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2018.0,Ajinkya Rahane,15.0,1.0,370.0,65.0,28.46,313.0,118.21,0.0,1.0,39.0,5.0,4.0,0.0,15.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2017.0,Ajinkya Rahane,16.0,1.0,382.0,60.0,25.46,323.0,118.26,0.0,2.0,35.0,9.0,7.0,0.0,16.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2016.0,Ajinkya Rahane,14.0,3.0,480.0,74.0,43.63,379.0,126.64,0.0,6.0,54.0,9.0,7.0,0.0,14.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2015.0,Ajinkya Rahane,14.0,2.0,540.0,91.0,49.09,413.0,130.75,0.0,4.0,53.0,13.0,3.0,0.0,14.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
